cenario_id;dados_cenario
1;Começou a trabalhar como estagiário aos 18 anos, poupando 10% do salário em um fundo de renda fixa.
2;Aos 25, comprou seu primeiro apartamento com parte das economias e financiamento imobiliário.
3;Com uma promoção recente, agora busca diversificar investimentos em títulos de baixo risco.
4;É fã de tecnologia e quer começar a investir em startups inovadoras.
5;Acaba de se divorciar e precisa de uma conta conjunta com o filho adolescente.
6;Foi pego espionando colegas no trabalho e agora quer sair da empresa para montar um negócio próprio.
7;Viu um anúncio sobre cashback e quer saber como isso funciona.
8;Seu cachorro ficou gravemente doente e as despesas veterinárias estão fora de controle.
9;Acabou de herdar uma pequena casa, mas precisa reformá-la para alugá-la como fonte de renda.
10;Está indignado com taxas ocultas em seu último financiamento e quer mudar de banco.
11;Sonha em abrir uma cafeteria temática de gatinhos no bairro, mas não sabe por onde começar.
12;Ganhou uma promoção no trabalho e quer aprender sobre investimentos a longo prazo.
13;Precisa financiar um curso de programação porque sonha em mudar de carreira.
14;Tem medo de comprometer sua renda mensal, mas quer comprar um apartamento maior.
15;Tem um hobby de colecionar relógios raros e quer abrir uma linha de crédito para comprar um modelo especial.
16;Foi vítima de fraude recentemente e perdeu a confiança em bancos digitais.
17;Planeja se casar no próximo ano e está pesquisando opções de financiamento para a festa.
18;Fez parte de um esquema de bullying e quer criar um canal que ajude jovens a superarem traumas.
19;Sua mãe está doente e ele quer ajudá-la a pagar os custos de um cuidador.
20;Está feliz porque conseguiu quitar todas as suas dívidas e agora quer investir.
21;Recebeu uma oferta de trabalho no exterior, mas precisa de um cartão internacional.
22;É motorista de aplicativo e quer financiar um carro mais eficiente.
23;Está cansado de pagar aluguel e quer entender como funciona o financiamento de imóveis.
24;"Espalha mentiras sobre pessoas próximas, mas quer financiar uma viagem para ""recomeçar do zero"" em outro lugar."
25;Acabou de abrir um salão de beleza e precisa de crédito para marketing.
26;Teve uma ideia para um aplicativo revolucionário e quer um empréstimo para desenvolvê-lo.
27;Foi demitido por roubar material de escritório, mas agora pensa em um plano de carreira autônomo.
28;Seu filho quer estudar no exterior e precisa de ajuda para pagar as mensalidades.
29;Sempre sonhou em montar uma livraria-café, mas acha que é algo inviável financeiramente.
30;Gosta de ser independente e quer saber se vale a pena abrir uma conta poupança.
31;Reclama de tudo o tempo todo, mas secretamente admira quem consegue organizar sua vida financeira com facilidade
32;Vendeu sua moto e quer aplicar o dinheiro em algo que renda mais.
33;Seu salário nunca parece durar o mês inteiro e quer dicas para administrar melhor as finanças.
34;"Foi banido de um aplicativo de namoro e acha que é o momento certo para investir em um curso de redes sociais para ""limpar"" sua imagem."
35;Acabou de ser aprovado em um concurso público e quer abrir uma conta salário.
36;Está preocupado com a aposentadoria e quer começar a planejar o futuro.
37;Adora festas e quer um cartão de crédito para parcelar um grande festival que ocorrerá na cidade.
38;Esconde informações financeiras da família porque quer abrir uma conta separada para seus projetos.
39;Perdeu o controle do orçamento após um divórcio e quer reorganizar sua vida financeira.
40;Abriu um negócio de bolos e precisa de uma maquininha de cartão para vender.
41;Gosta de ser direto e está irritado porque precisa ligar para resolver algo que deveria ser simples.
42;É gamer e quer financiar um computador de última geração.
43;Foi enganado por um amigo em um esquema de pirâmide financeira e agora é extremamente desconfiado.
44;Sempre doou dinheiro para ONGs e quer aprender como ajudar mais sem prejudicar suas finanças.
45;Foi acusado de desviar dinheiro em uma ONG e agora quer um consultor para reconstruir sua reputação.
46;Teve seu cartão bloqueado durante uma viagem e ficou frustrado com a burocracia.
47;Quer financiar uma viagem de formatura para a filha, mas está com o orçamento apertado.
48;Prefere resolver conflitos com violência, mas precisa de ajuda para pagar o conserto de danos causados em uma briga recente.
49;Planeja se mudar para o campo e quer comprar uma pequena propriedade rural.
50;Vendeu um terreno e quer aplicar o valor para garantir o futuro da família.
51;Sonha em largar tudo e abrir um food truck com sua comida favorita.
52;É minimalista e acha que os bancos complicam algo que deveria ser simples.
53;"Costuma ignorar leis pequenas, mas quer comprar um carro para se ""sentir no controle"" novamente."
54;Adora viajar e quer acumular milhas para planejar férias luxuosas.
55;Costuma esquecer de pagar a fatura e busca um cartão que não cobre juros abusivos.
56;"Acredita que ter muitos cartões é ""status"" e está pedindo mais um apenas por aparência."
